id,name,country,url,image,pdf
1,ENGLISH POINTER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/ENGLISH-POINTER-1.html,http://www.fci.be/Nomenclature/Illustrations/001g07.jpg,http://www.fci.be/Nomenclature/Standards/001g07-en.pdf
2,ENGLISH SETTER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/ENGLISH-SETTER-2.html,http://www.fci.be/Nomenclature/Illustrations/002g07.jpg,http://www.fci.be/Nomenclature/Standards/002g07-en.pdf
3,KERRY BLUE TERRIER,IRELAND,http://www.fci.be/en/nomenclature/KERRY-BLUE-TERRIER-3.html,,http://www.fci.be/Nomenclature/Standards/003g03-en.pdf
4,CAIRN TERRIER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/CAIRN-TERRIER-4.html,http://www.fci.be/Nomenclature/Illustrations/004g03.jpg,http://www.fci.be/Nomenclature/Standards/004g03-en.pdf
5,ENGLISH COCKER SPANIEL,GREAT BRITAIN,http://www.fci.be/en/nomenclature/ENGLISH-COCKER-SPANIEL-5.html,http://www.fci.be/Nomenclature/Illustrations/005g08.jpg,http://www.fci.be/Nomenclature/Standards/005g08-en.pdf
6,GORDON SETTER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/GORDON-SETTER-6.html,http://www.fci.be/Nomenclature/Illustrations/006g07.jpg,http://www.fci.be/Nomenclature/Standards/006g07-en.pdf
7,AIREDALE TERRIER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/AIREDALE-TERRIER-7.html,http://www.fci.be/Nomenclature/Illustrations/007g03.jpg,http://www.fci.be/Nomenclature/Standards/007g03-en.pdf
8,AUSTRALIAN TERRIER,AUSTRALIA,http://www.fci.be/en/nomenclature/AUSTRALIAN-TERRIER-8.html,http://www.fci.be/Nomenclature/Illustrations/008g03.jpg,http://www.fci.be/Nomenclature/Standards/008g03-en.pdf
9,BEDLINGTON TERRIER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/BEDLINGTON-TERRIER-9.html,http://www.fci.be/Nomenclature/Illustrations/009g03.jpg,http://www.fci.be/Nomenclature/Standards/009g03-en.pdf
10,BORDER TERRIER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/BORDER-TERRIER-10.html,http://www.fci.be/Nomenclature/Illustrations/010g03.jpg,http://www.fci.be/Nomenclature/Standards/010g03-en.pdf
11,BULL TERRIER,GREAT BRITAIN,http://www.fci.be/en/nomenclature/BULL-TERRIER-11.html,http://www.fci.be/Nomenclature/Illustrations/011g03.jpg,http://www.fci.be/Nomenclature/Standards/011g03-en.pdf
12,FOX TERRIER (SMOOTH),GREAT BRITAIN,http://www.fci.be/en/nomenclature/FOX-TERRIER-SMOOTH-12.html,http://www.fci.be/Nomenclature/Illustrations/012g03.jpg,http://www.fci.be/Nomenclature/Standards/012g03-en.pdf
13,ENGLISH TOY TERRIER (BLACK &TAN),GREAT BRITAIN,http://www.fci.be/en/nomenclature/ENGLISH-TOY-TERRIER-BLACK-TAN-13.html,http://www.fci.be/Nomenclature/Illustrations/013g03.jpg,http://www.fci.be/Nomenclature/Standards/013g03-en.pdf
14,SWEDISH VALLHUND,SWEDEN,http://www.fci.be/en/nomenclature/SWEDISH-VALLHUND-14.html,http://www.fci.be/Nomenclature/Illustrations/014g05.jpg,http://www.fci.be/Nomenclature/Standards/014g05-en.pdf
15,BELGIAN SHEPHERD DOG,BELGIUM,http://www.fci.be/en/nomenclature/BELGIAN-SHEPHERD-DOG-15.html,,http://www.fci.be/Nomenclature/Standards/015g01-en.pdf
16,OLD ENGLISH SHEEPDOG,GREAT BRITAIN,http://www.fci.be/en/nomenclature/OLD-ENGLISH-SHEEPDOG-16.html,http://www.fci.be/Nomenclature/Illustrations/016g01.jpg,http://www.fci.be/Nomenclature/Standards/016g01-en.pdf
17,GRIFFON NIVERNAIS,FRANCE,http://www.fci.be/en/nomenclature/GRIFFON-NIVERNAIS-17.html,http://www.fci.be/Nomenclature/Illustrations/017g06.jpg,http://www.fci.be/Nomenclature/Standards/017g06-en.pdf
19,BRIQUET GRIFFON VENDEEN,FRANCE,http://www.fci.be/en/nomenclature/BRIQUET-GRIFFON-VENDEEN-19.html,http://www.fci.be/Nomenclature/Illustrations/019g06.jpg,http://www.fci.be/Nomenclature/Standards/019g06-en.pdf
20,ARIEGEOIS,FRANCE,http://www.fci.be/en/nomenclature/ARIEGEOIS-20.html,http://www.fci.be/Nomenclature/Illustrations/020g06.jpg,http://www.fci.be/Nomenclature/Standards/020g06-en.pdf
21,GASCON SAINTONGEOIS,FRANCE,http://www.fci.be/en/nomenclature/GASCON-SAINTONGEOIS-21.html,,http://www.fci.be/Nomenclature/Standards/021g06-en.pdf
22,GREAT GASCONY BLUE,FRANCE,http://www.fci.be/en/nomenclature/GREAT-GASCONY-BLUE-22.html,http://www.fci.be/Nomenclature/Illustrations/022g06.jpg,http://www.fci.be/Nomenclature/Standards/022g06-en.pdf
24,POITEVIN,FRANCE,http://www.fci.be/en/nomenclature/POITEVIN-24.html,http://www.fci.be/Nomenclature/Illustrations/024g06.jpg,http://www.fci.be/Nomenclature/Standards/024g06-en.pdf
25,BILLY,FRANCE,http://www.fci.be/en/nomenclature/BILLY-25.html,http://www.fci.be/Nomenclature/Illustrations/025g06.jpg,http://www.fci.be/Nomenclature/Standards/025g06-en.pdf
28,ARTOIS HOUND,FRANCE,http://www.fci.be/en/nomenclature/ARTOIS-HOUND-28.html,http://www.fci.be/Nomenclature/Illustrations/028g06.jpg,http://www.fci.be/Nomenclature/Standards/028g06-en.pdf
30,PORCELAINE,FRANCE,http://www.fci.be/en/nomenclature/PORCELAINE-30.html,http://www.fci.be/Nomenclature/Illustrations/030g06.jpg,http://www.fci.be/Nomenclature/Standards/030g06-en.pdf
31,SMALL BLUE GASCONY,FRANCE,http://www.fci.be/en/nomenclature/SMALL-BLUE-GASCONY-31.html,,http://www.fci.be/Nomenclature/Standards/031g06-en.pdf
32,BLUE GASCONY GRIFFON,FRANCE,http://www.fci.be/en/nomenclature/BLUE-GASCONY-GRIFFON-32.html,,http://www.fci.be/Nomenclature/Standards/032g06-en.pdf
33,GRAND BASSET GRIFFON VENDEEN,FRANCE,http://www.fci.be/en/nomenclature/GRAND-BASSET-GRIFFON-VENDEEN-33.html,,http://www.fci.be/Nomenclature/Standards/033g06-en.pdf
34,NORMAN ARTESIEN BASSET,FRANCE,http://www.fci.be/en/nomenclature/NORMAN-ARTESIEN-BASSET-34.html,,http://www.fci.be/Nomenclature/Standards/034g06-en.pdf
